表標題,表十 癸二、教授中出,,
本表範圍,冊2/表10範圍,,
上一表,冊2表9,,
下一表,冊2表11,,
標題名稱,種類,檔案名稱或連結,連結按鈕文字
癸二、教授中出，又分二：,Audio,冊2/表10/癸二、教授中出，又分二,
    一、正說，又分二：,Audio,冊2/表10/一、正說，又分二,
        子一、別學，又分二：,Audio,冊2/表10/子一、別學，又分二,
            丑一、遮止應學；,Audio,冊2/表10/丑一、遮止應學,
            丑二、修行應學，又分二：,Audio,冊2/表10/丑二、修行應學，又分二,
                A-1、於佛法僧所依應學之理，又分三：,Audio,冊2/表10/A1、於佛法僧所依應學之理，又分三,
                    B1、於佛所依應學之理，又分三：,Audio,冊2/表10/B1、於佛所依應學之理，又分三,
                        C1、正說；,Audio,冊2/表10/C1、正說,
                        C2、往昔不敬異熟事例；,Audio,冊2/表10/C2、往昔不敬異熟事例,
                        C3、應學恭敬之理；,Audio,冊2/表10/C3、應學恭敬之理,
                    B2、於法；,Audio,冊2/表10/B2、於法,
                    B3、於僧；,Audio,冊2/表10/B3、於僧,
                A-2、勝利；,Audio,冊2/表10/A2、勝利,
         子二、共學,Link,冊2表11,接表十一
     二、破除非清淨說,Link,冊2表13,接表十三
