表標題,表十一  子二、共學,,
本表範圍,冊2/表11範圍,,
上一表,冊2表10,,
下一表,冊2表12,,
標題名稱,種類,檔案名稱或連結,連結按鈕文字
子二、共學，又分六：,Audio,冊2/表11/子二、共學，又分六,
    A-1、隨念三寶功德差別，數數皈依；,Audio,冊2/表11/A1、隨念三寶功德差別，數數皈依,
    A-2、隨念大恩恆勤供養，嚼噉之先亦當供養；,Link,冊2表11-3,音檔過長，接分段頁
    A-3、隨念悲故，亦應安立餘諸眾生於是道理；,Audio,冊2/表11/A3、隨念悲故，亦應安立餘諸眾生於是道理,
    A-4、隨作何事，有何所須，皆當供養啟白三寶，棄捨世間諸餘方便；,Audio,冊2/表11/A4、隨作何事，有何所須，皆當供養啟白三寶，棄捨世間諸餘方便,
    A-5、由知勝利，晝三夜三勤修皈依，又分二：,Audio,冊2/表11/A5、由知勝利，晝三夜三勤修皈依，又分二,
        B1、《攝分》所出勝利，又分二：,Audio,冊2/表11/B1、《攝分》所出勝利，又分二,
            C1、初四聚，又分四：,Audio,冊2/表11/C1、初四聚，又分四,
                D1、獲廣大福；,Audio,冊2/表11/D1、獲廣大福,
                D2、獲大歡喜；,Audio,冊2/表11/D2、獲大歡喜,
                D3、獲三摩地；,Audio,冊2/表11/D3、獲三摩地,
                D4、獲大清淨；,Audio,冊2/表11/D4、獲大清淨,
            C2、第二四聚，又分四：,Audio,冊2/表11/C2、第二四聚，又分四, 
                D1、具大守護；,Audio,冊2/表11/D1、具大守護,
                D2、於一切種邪勝解障皆得輕微或永滅盡；,Audio,冊2/表11/D2、於一切種邪勝解障皆得輕微或永滅盡,
                D3、得墮入正行正至善士數中；,Audio,冊2/表11/D3、得墮入正行正至善士數中,
                D4、為其大師、同梵行者，及於聖教淨信諸天愛念歡喜；,Audio,冊2/表11/D4、為其大師、同梵行者，及於聖教淨信諸天愛念歡喜,
       B2、教授所出勝利,Link,冊2表12,接表十二
   A-6、下至戲笑乃至命緣，應當守護、不捨三寶；,Link,冊2表12,接表十二
