表標題,表十二 B2、教授所出勝利,,
本表範圍,冊2/表12範圍,,
上一表,冊2表11,,
下一表,冊2表13,,
標題名稱,種類,檔案名稱或連結,連結按鈕文字
B2、教授所出勝利，又分二：,Audio,冊2/表12/B2、教授所出勝利，又分二,
     C1、正說，又分八：,Audio,冊2/表12/C1、正說，又分八,
         D1、得入內道佛弟子；,Audio,冊2/表12/D1、得入內道佛弟子,
         D2、成一切律儀所依處；,Audio,冊2/表12/D2、成一切律儀所依處,
         D3、先集業障輕微、滅盡；,Audio,冊2/表12/D3、先集業障輕微、滅盡,
         D4、積廣大福；,Audio,冊2/表12/D4、積廣大福,
         D5、不墮惡趣；,Audio,冊2/表12/D5、不墮惡趣,
         D6、人與非人不能為難；,Audio,冊2/表12/D6、人與非人不能為難,
         D7、隨一切想悉當成辦；,Audio,冊2/表12/D7、隨一切想悉當成辦,
         D8、速能成佛；,Audio,冊2/表12/D8、速能成佛,
     C2、破除非清淨說；,Audio,冊2/表12/C2、破除非清淨說,
A-6、下至戲笑乃至命緣，應當守護、不捨三寶；,Audio,冊2/表12/A6、下至戲笑乃至命緣，應當守護、不捨三寶,
