表標題,表十三 二、破除非清淨說，上接表十,,
本表範圍,冊2/表13範圍,,
上一表,冊2表10,,
下一表,冊2表14,,
標題名稱,種類,檔案名稱或連結,連結按鈕文字
二、破除非清淨說，又分五：,Audio,冊2/表13/二、破除非清淨說，又分五,
   A-1、遮破非學處；,Audio,冊2/表13/A1、遮破非學處,
   A-2、別別學處依據；,Audio,冊2/表13/A2、別別學處依據,
   A-3、破除虧損及棄捨之淆；,Audio,冊2/表13/A3、破除虧損及棄捨之淆,
   A-4、明正捨之理；,Audio,冊2/表13/A4、明正捨之理,
   A-5、殷重珍愛之理，又分三：,Audio,冊2/表13/A5、殷重珍愛之理，又分三,
       B1、憶念入門等三種差別而學；,Audio,冊2/表13/B1、憶念入門等三種差別而學,
       B2、以正皈法寶觀待於己之理教誡勤修；,Audio,冊2/表13/B2、以正皈法寶觀待於己之理教誡勤修,
       B3、不如是學則不得救，是故教誡應如業果而學，又分二：,Audio,冊2/表13/B3、不如是學則不得救，是故教誡應如業果而學，又分二,
           C1、略示；,Audio,冊2/表13/C1、略示,
           C2、廣說，又分二：,Audio,冊2/表13/C2、廣說，又分二,
               D1、陳述係屬；,Audio,冊2/表13/D1、陳述係屬,
               D2、正說；,Audio,冊2/表13/D2、正說, 
