表標題,表九 壬四、既皈依已所學次第,,
本表範圍,冊2/表9範圍,,
上一表,冊2表6,,
下一表,冊2表10,,
標題名稱,種類,檔案名稱或連結,連結按鈕文字
壬四、既皈依已所學次第 又分二：,Audio,冊2/表9/壬四、既皈依已所學次第，又分二,
    癸一、《攝分》中出 又分二：,Audio,冊2/表9/癸一、《攝分》中出，又分二,
        A-1、初四聚，又分四：,Audio,冊2/表9/A1、初四聚，又分四,
            B1、親近善士,Audio,冊2/表9/B1、親近善士,
            B2、聽聞正法,Audio,冊2/表9/B2、聽聞正法,
            B3、如理作意,Audio,冊2/表9/B3、如理作意,
            B4、法隨法行,Audio,冊2/表9/B4、法隨法行,
        A-2、第二四聚，又分四：,Audio,冊2/表9/A2、第二四聚，又分四,
            B1、諸根不掉,Audio,冊2/表9/B1、諸根不掉,
            B2、受學學處,Audio,冊2/表9/B2、受學學處,
            B3、悲愍有情,Audio,冊2/表9/B3、悲愍有情,
            B4、應時時間於三寶所勤修供養,Audio,冊2/表9/B4、應時時間於三寶所勤修供養,
    癸二、教授中出,Link,冊2表10,接表十
